loser_age,loser_hand,loser_ioc,loser_rank,loser_rank_points,surface,tourney_level,winner_age,winner_hand,winner_ioc,winner_rank,winner_rank_points,year,games,id
20.40520192,R,GER,97,324,Grass,G,29.57152635,R,INA,NA,NA,2000,2,348
21.53319644,L,SUI,35,836,Grass,G,24.00821355,R,ARG,52,632,2000,3,349
24.79945243,R,RUS,23,1152,Grass,G,24.04928131,R,USA,2,5815,2000,3,350
22.4476386,R,CRO,22,1178,Grass,G,19.73716632,R,SUI,1,6000,2000,2,351
19.34839151,R,SLO,67,496,Grass,G,25.56057495,R,GER,11,1893,2000,2,352
23.94524298,R,ISR,59,568,Grass,G,28.1779603,L,BEL,27,1021,2000,2,353
21.34428474,R,FRA,24,1135,Grass,G,20.02464066,R,USA,5,2647,2000,2,354
24.1724846,R,CAN,79,391,Grass,G,26.87748118,R,USA,21,1178,2000,2,355
27.76728268,R,USA,25,1101,Grass,G,20.64887064,R,BLR,92,344,2000,2,356
25.78781656,R,ESP,73,435,Grass,G,18.74880219,R,USA,8,2254,2000,2,358
21.89185489,R,AUT,74,435,Grass,G,22.22039699,R,USA,77,398,2000,3,361
27.79466119,R,NED,111,278,Grass,G,21.32238193,L,ESP,49,691,2000,3,362
24.61875428,R,FRA,44,711,Grass,G,26.56536619,L,USA,6,2610,2000,2,363
29.57152635,R,INA,NA,NA,Grass,G,24.24366872,R,USA,16,1416,2000,2,365
24.00821355,R,ARG,52,632,Grass,G,24.04928131,R,USA,2,5815,2000,2,366
20.64887064,R,BLR,92,344,Grass,G,26.87748118,R,USA,21,1178,2000,2,369
23.09103354,R,THA,40,739,Grass,G,18.74880219,R,USA,8,2254,2000,2,370
22.22039699,R,USA,77,398,Grass,G,21.32238193,L,ESP,49,691,2000,2,372
28.5229295,R,ESP,9,1970,Grass,G,26.56536619,L,USA,6,2610,2000,2,373
24.24366872,R,USA,16,1416,Grass,G,24.04928131,R,USA,2,5815,2000,2,374
